mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
6.525,0.608,1.426,0.222,0.871,0.499,3.0180000000000002,1.06,0.0
7.38,0.6,0.932,0.205,0.893,0.483,2.513,1.054,0.0
6.426,0.5920000000000001,1.367,0.247,0.8690000000000001,0.528,3.011,1.046,0.0
6.559,0.615,1.1159999999999999,0.183,0.85,0.47,2.6189999999999998,1.0659999999999998,0.0
6.119,0.61,1.265,0.225,0.847,0.483,2.821,1.042,0.0
6.5489999999999995,0.622,1.095,0.191,0.8270000000000001,0.436,2.549,1.067,0.0
6.835,0.585,1.245,0.20800000000000002,0.8909999999999999,0.428,2.773,1.071,0.0
6.806,0.595,1.273,0.225,0.8540000000000001,0.518,2.8710000000000004,1.07,0.0
6.386,0.602,1.328,0.21100000000000002,0.866,0.47,2.875,1.052,0.0
6.206,0.612,1.1520000000000001,0.22399999999999998,0.85,0.485,2.7110000000000003,1.052,0.0
8.029,0.618,1.022,0.205,0.8590000000000001,0.49,2.576,1.057,0.0
6.019,0.6,0.925,0.188,0.828,0.41200000000000003,2.353,1.075,0.0
7.069,0.615,1.297,0.204,0.902,0.485,2.888,1.139,0.0
7.539,0.622,1.031,0.217,0.8590000000000001,0.493,2.6010000000000004,1.072,0.0
6.7479999999999976,0.58,1.045,0.218,0.887,0.474,2.625,1.067,0.0
6.95,0.5820000000000001,0.8140000000000001,0.188,0.857,0.4320000000000001,2.292,1.054,0.0
6.495,0.58,0.9390000000000001,0.2,0.892,0.475,2.5069999999999997,1.112,0.0
6.25,0.618,1.1909999999999998,0.188,0.8490000000000001,0.45799999999999996,2.6860000000000004,1.045,0.0
7.106,0.608,0.882,0.2,0.863,0.39799999999999996,2.343,1.077,0.0
7.426,0.5920000000000001,1.074,0.21600000000000005,0.893,0.47100000000000003,2.654,1.056,0.0
6.733,0.5920000000000001,1.31,0.217,0.85,0.479,2.8560000000000003,1.054,0.0
6.0,0.5920000000000001,1.193,0.20800000000000002,0.89,0.48200000000000004,2.773,1.067,0.0
8.04,0.59,1.2670000000000001,0.201,0.865,0.529,2.863,1.05,0.0
6.95,0.585,0.998,0.17800000000000002,0.879,0.48700000000000004,2.542,1.036,0.0
6.961,0.6,1.129,0.19699999999999998,0.858,0.462,2.645,1.058,0.0
7.812,0.568,1.161,0.204,0.934,0.48,2.779,1.061,0.0
6.648,0.598,1.117,0.20600000000000002,0.8490000000000001,0.486,2.659,1.075,0.0
5.99,0.62,1.2009999999999998,0.20600000000000002,0.83,0.446,2.682,1.043,0.0
6.475,0.602,0.82,0.172,0.8290000000000001,0.41100000000000003,2.231,1.047,0.0
6.225,0.615,1.068,0.193,0.82,0.46299999999999997,2.545,1.102,0.0
7.5539999999999985,0.605,0.9059999999999999,0.182,0.83,0.39299999999999996,2.311,1.055,0.0
7.4860000000000015,0.602,1.396,0.23399999999999999,0.902,0.47,3.002,1.099,0.0
7.059,0.625,1.344,0.214,0.855,0.46299999999999997,2.8760000000000003,1.057,0.0
5.81,0.612,1.403,0.192,0.8640000000000001,0.435,2.8930000000000002,1.048,0.0
6.291,0.5920000000000001,1.022,0.19699999999999998,0.894,0.469,2.583,1.068,0.0
7.1670000000000025,0.57,1.117,0.183,0.903,0.583,2.787,1.211,0.0
7.047999999999999,0.5820000000000001,0.904,0.195,0.898,0.523,2.521,1.089,0.0
6.853,0.59,1.193,0.189,0.879,0.51,2.7710000000000004,1.074,0.0
6.07,0.65,1.105,0.197,0.826,0.5,2.629,1.056,0.0
6.32,0.635,1.334,0.224,0.855,0.503,2.9160000000000004,1.043,0.0
6.851,0.57,0.7829999999999999,0.17600000000000002,0.885,0.524,2.3680000000000003,1.055,0.0
6.614,0.61,0.99,0.198,0.799,0.466,2.4530000000000003,1.047,0.0
6.8610000000000015,0.6,0.905,0.179,0.889,0.478,2.451,1.044,0.0
7.255,0.61,1.2009999999999998,0.21,0.883,0.438,2.733,1.058,0.0
7.198,0.595,1.3130000000000002,0.193,0.841,0.477,2.824,1.055,0.0
7.04,0.612,1.3630000000000002,0.214,0.853,0.476,2.907,1.057,0.0
6.2570000000000014,0.5720000000000001,1.4169999999999998,0.217,0.928,0.4970000000000001,3.059,1.05,0.0
7.42,0.61,1.07,0.189,0.889,0.468,2.617,1.045,0.0
6.635,0.622,0.84,0.16699999999999998,0.831,0.472,2.31,1.063,0.0
7.872999999999997,0.625,1.085,0.192,0.828,0.479,2.584,1.064,0.0
7.835,0.62,1.008,0.21,0.868,0.478,2.563,1.084,0.0
6.7479999999999976,0.602,1.261,0.182,0.8370000000000001,0.448,2.729,1.064,0.0
7.09,0.612,1.006,0.201,0.8190000000000001,0.441,2.467,1.037,0.0
6.2120000000000015,0.65,0.775,0.161,0.7809999999999999,0.446,2.1630000000000003,1.062,0.0
6.83,0.628,1.028,0.19,0.82,0.444,2.482,1.141,0.0
7.23,0.612,0.887,0.191,0.83,0.4320000000000001,2.34,1.044,0.0
7.68,0.598,1.0659999999999998,0.198,0.853,0.438,2.555,1.047,0.0
